gene_name,snp_count,best_pvalue,max_risk_score,max_combined_score,min_distance,gene_id,gene_rank
KCNH6,30,3.474e-16,0.1537548518003492,0.3507261393652747,39932,ENSG00000173826,146
CYB561,209,3.474e-16,0.1537548518003492,0.3507261393652747,22040,ENSG00000008283,147
ACE,220,3.474e-16,0.1537548518003492,0.3507261393652747,0,ENSG00000159640,148
SCIMP,36,6.585e-13,0.1582870324997763,0.3496075783882383,0,ENSG00000161929,149
ZNF594,60,6.585e-13,0.1582870324997763,0.3496075783882383,0,ENSG00000180626,150
INPP5D,640,1.043e-17,0.1490393226200041,0.3484153276320532,0,ENSG00000168918,151
PPP1R13L,117,3.1174499999999998e-25,0.1353516216410003,0.3473574691615792,23008,ENSG00000104881,152
SPI1,440,3.277e-12,0.1613115308234113,0.3471316342798631,0,ENSG00000066336,153
MADD,935,8.211e-12,0.1613115308234113,0.3471316342798631,8124,ENSG00000110514,154
MYBPC3,78,3.277e-12,0.1613115308234113,0.3471316342798631,0,ENSG00000134571,155
RTN2,220,1.19978e-24,0.1357719558937935,0.3467454120788187,2452,ENSG00000125744,156
PPM1N,160,1.19978e-24,0.1357719558937935,0.3467454120788187,5940,ENSG00000213889,157
VASP,187,1.19978e-24,0.1357719558937935,0.3467454120788187,0,ENSG00000125753,158
FOSB,104,1.19978e-24,0.1357719558937935,0.3467454120788187,1212,ENSG00000125740,159
ERCC1,255,1.19978e-24,0.1357719558937935,0.3467454120788187,0,ENSG00000012061,160
RASGEF1C,30,3.38e-12,0.1551927951708732,0.345019081037925,0,ENSG00000146090,161
MAPK9,55,3.38e-12,0.1551927951708732,0.345019081037925,25528,ENSG00000050748,162
RPS9,36,3.159e-09,0.1547943293196182,0.3391845280193536,13193,ENSG00000170889,163
LILRB5,24,3.159e-09,0.1547943293196182,0.3391845280193536,4891,ENSG00000105609,164
LILRB3,32,3.159e-09,0.1547943293196182,0.3391845280193536,19453,ENSG00000204577,165
LILRB2,28,3.159e-09,0.1547943293196182,0.3391845280193536,6224,ENSG00000131042,166
LILRA6,24,3.159e-09,0.1547943293196182,0.3391845280193536,19406,ENSG00000244482,167
LILRA5,10,3.159e-09,0.1547943293196182,0.3391845280193536,46902,ENSG00000187116,168
LILRA3,12,3.159e-09,0.1547943293196182,0.3391845280193536,28403,ENSG00000170866,169
TRAPPC6A,195,8.569e-29,0.1383315116833887,0.33347853503587,0,ENSG00000007255,170
AC006126.3,71,8.569e-29,0.1383315116833887,0.33347853503587,0,ENSG00000266958,171
AC005779.2,73,8.569e-29,0.1383315116833887,0.33347853503587,0,ENSG00000267545,172
EXOC3L2,136,8.569e-29,0.1383315116833887,0.33347853503587,0,ENSG00000130201,173
NKPD1,60,8.569e-29,0.1383315116833887,0.33347853503587,2320,ENSG00000179846,174
BLOC1S3,292,8.569e-29,0.1383315116833887,0.33347853503587,9,ENSG00000189114,175
ZNF234,336,5.41627e-43,0.1100996977880041,0.3311720617608977,0,ENSG00000263002,176
ZNF224,272,5.41627e-43,0.1100996977880041,0.3311720617608977,0,ENSG00000267680,177
ZNF225,300,5.41627e-43,0.1100996977880041,0.3311720617608977,0,ENSG00000256294,178
ZNF223,195,1.05099e-42,0.1100996977880041,0.3306128205301629,0,ENSG00000267022,179
ZNF284,30,1.05099e-42,0.1100996977880041,0.3306128205301629,0,ENSG00000186026,180
CEACAM16,24,6.774e-43,0.0913950652600008,0.3267530612750553,0,ENSG00000213892,181
PTK2B,85,3.273e-09,0.1390861263267615,0.3210944294761029,0,ENSG00000120899,182
ECHDC3,5,2.866e-12,0.1323917022888297,0.3205804589501753,63246,ENSG00000134463,183
ZNF112,25,2.51304e-22,0.1149109932274513,0.3200436597192577,0,ENSG00000062370,184
CTC-512J12.6,6,2.51304e-22,0.1149109932274513,0.3200436597192577,0,ENSG00000267173,185
ZNF229,25,2.51304e-22,0.1149109932274513,0.3200436597192577,0,ENSG00000167383,186
ZNF285,30,2.51304e-22,0.1149109932274513,0.3200436597192577,142,ENSG00000267508,187
IGFL1,39,5.00035e-24,0.1102122962575453,0.3168844338238118,1020,ENSG00000188293,188
APP,499,1.017e-09,0.1342156697915597,0.3152540440432293,0,ENSG00000142192,189
CR1L,70,2.645e-14,0.1339686099029587,0.3147268416732323,11728,ENSG00000197721,190
CR1,154,3.93e-15,0.1339686099029587,0.3147268416732323,0,ENSG00000203710,191
STRN4,46,2.3297e-12,0.1247312272815466,0.3124881080791071,36952,ENSG00000090372,192
DACT3,12,2.3297e-12,0.1247312272815466,0.3124881080791071,0,ENSG00000197380,193
PRKD2,68,2.3297e-12,0.1247312272815466,0.3124881080791071,0,ENSG00000105287,194
GNG8,6,2.3297e-12,0.1247312272815466,0.3124881080791071,9539,ENSG00000167414,195
INO80E,583,4.613e-12,0.123921061662212,0.311076934811872,0,ENSG00000169592,196
DOC2A,864,4.613e-12,0.123921061662212,0.311076934811872,0,ENSG00000149927,197
TMEM219,248,4.613e-12,0.123921061662212,0.311076934811872,0,ENSG00000149932,198
FAM57B,294,4.613e-12,0.123921061662212,0.311076934811872,0,ENSG00000149926,199
ALDOA,1066,4.613e-12,0.123921061662212,0.311076934811872,0,ENSG00000149925,200
